field,semester,subject,english_name,exam_date,assessment_method
Informatyka,1,Wstep do programowania,Introduction to Programming,22 czerwca 2026,"egzamin praktyczny i projekt koncowy"
Informatyka,1,Matematyka dyskretna,Discrete Mathematics,18 czerwca 2026,"egzamin pisemny"
Informatyka,1,Architektura komputerow,Computer Architecture,16 czerwca 2026,"test koncowy"
Informatyka,1,Jezyk angielski B2,English B2,12 czerwca 2026,"test jezykowy"
Informatyka,1,Technologie internetowe,Web Technologies,19 czerwca 2026,"projekt strony i test"
Informatyka,2,Algorytmy i struktury danych,Algorithms and Data Structures,25 czerwca 2026,"egzamin i projekt programistyczny"
Informatyka,2,Bazy danych,Databases,5 czerwca 2026,"test SQL i projekt zespolowy"
Informatyka,2,Systemy operacyjne,Operating Systems,24 czerwca 2026,"egzamin"
Informatyka,2,Programowanie obiektowe,Object-Oriented Programming,26 czerwca 2026,"egzamin praktyczny"
Informatyka,2,Podstawy elektroniki,Electronics Basics,15 czerwca 2026,"kolokwium"
Informatyka,3,Sieci komputerowe,Computer Networks,20 czerwca 2026,"egzamin"
Informatyka,3,Inzynieria oprogramowania,Software Engineering,23 czerwca 2026,"egzamin i projekt"
Informatyka,3,Programowanie aplikacji webowych,Web Application Development,27 czerwca 2026,"obrona projektu"
Informatyka,3,Statystyka dla informatykow,Statistics for Computer Scientists,21 czerwca 2026,"egzamin"
Informatyka,3,Bezpieczenstwo systemow,System Security,28 czerwca 2026,"test"
Informatyka,4,Projekt zespolowy,Team Project,30 czerwca 2026,"prezentacja projektu"
Informatyka,4,Chmura obliczeniowa,Cloud Computing,18 czerwca 2026,"test i projekt wdrozeniowy"
Informatyka,4,Aplikacje mobilne,Mobile Applications,24 czerwca 2026,"prezentacja projektu"
Informatyka,4,Hurtownie danych,Data Warehouses,25 czerwca 2026,"egzamin"
Informatyka,4,Metody numeryczne,Numerical Methods,22 czerwca 2026,"egzamin"
Informatyka,5,Sztuczna inteligencja,Artificial Intelligence,18 stycznia 2027,"egzamin i projekt AI"
Informatyka,5,Uczenie maszynowe,Machine Learning,22 stycznia 2027,"egzamin i projekt ML"
Informatyka,5,Grafika komputerowa,Computer Graphics,20 stycznia 2027,"test i projekt graficzny"
Informatyka,5,Administracja systemami,System Administration,25 stycznia 2027,"test i projekt administracyjny"
Informatyka,6,DevOps i CI/CD,DevOps and CI/CD,19 czerwca 2027,"prezentacja pipeline CI/CD"
Informatyka,6,Praktyka zawodowa,Internship,30 wrzesnia 2027,"raport z praktyki"
Informatyka,6,Analiza danych,Data Analysis,21 czerwca 2027,"projekt analityczny i test"
Informatyka,6,Projektowanie interfejsow,User Interface Design,23 czerwca 2027,"projekt UX"
Informatyka,7,Seminarium dyplomowe,Diploma Seminar,15 stycznia 2028,"prezentacja konspektu"
Informatyka,7,Praca inzynierska,Engineering Thesis,10 lutego 2028,"obrona pracy inzynierskiej"
Informatyka,7,Etyka i prawo w IT,Ethics and Law in IT,25 stycznia 2028,"kolokwium i esej"
